,Model,MAE,MSE,RMSE,R2 Score,Bias
4,Mixtral,0.87,1.69,1.3,0.811,-0.31
6,Gemma 9B,1.34,11.3,3.36,0.94,-0.74
0,DeepSeek,1.51,5.75,2.4,0.297,-0.78
8,Phi-3 Medium,1.7,10.58,3.25,0.944,-0.1
11,LLaMA 8B,1.7,13.06,3.61,0.931,-0.54
1,Mistral,1.78,14.06,3.75,0.927,-0.88
5,Gemma 2B,1.96,13.44,3.67,0.929,0.16
3,Mixtral FR,2.05,22.65,4.76,0.903,0.0
10,LLaMA 3B,2.14,18.5,4.3,0.943,-1.64
7,Phi-4,2.7,131.74,11.48,0.304,-2.06
2,Mistral FR,3.4,177.08,13.31,0.064,-2.28
9,LLaMA 1B,253.66,735838.04,857.81,-92009.99,251.91
