filename,number_of_people
12833.txt,1
13239.txt,3
13519.txt,1
13731.txt,2
13743.txt,2
16403.txt,1
1690.txt,3
20405.txt,1
26614.txt,11
27142.txt,1
27144.txt,1
27149.txt,1
27548.txt,2
27566.txt,2
28396.txt,1
28401.txt,1
28402.txt,2
28403.txt,3
28490.txt,3
28504.txt,1
28830.txt,5
28833.txt,5
28835.txt,3
28847.txt,5
31566.txt,2
31650.txt,3
32015.txt,3
32496.txt,2
32703.txt,2
33950.txt,2
34045.txt,3
34399.txt,1
34524.txt,10
34721.txt,3
4727.txt,1
5847.txt,3
628.txt,6
7193.txt,12
7194.txt,6
7538.txt,2
12833.txt,1
13239.txt,3
13519.txt,2
13575.txt,1
13731.txt,2
13743.txt,2
16403.txt,1
1690.txt,3
20405.txt,1
26614.txt,11
27142.txt,2
27144.txt,1
27149.txt,1
27548.txt,3
27566.txt,2
27893.txt,3
28401.txt,2
28402.txt,3
28403.txt,3
28490.txt,5
28504.txt,1
28830.txt,5
28833.txt,5
28835.txt,3
28847.txt,4
31650.txt,3
32015.txt,3
32114.txt,1
32496.txt,3
32703.txt,3
33950.txt,1
34045.txt,2
34326.txt,5
34399.txt,2
34400.txt,2
34524.txt,10
34721.txt,2
5847.txt,1
628.txt,7
6881.txt,3
7193.txt,10
7194.txt,6
7408.txt,1
