filename,number_of_people
12833.txt,1
12931.txt,1
13239.txt,2
13519.txt,1
13575.txt,2
13731.txt,2
13743.txt,4
16403.txt,1
1690.txt,3
20405.txt,1
26614.txt,10
27140.txt,80
27142.txt,2
27144.txt,2
27149.txt,3
27172.txt,2
27548.txt,2
27566.txt,2
27893.txt,3
28396.txt,2
28401.txt,1
28402.txt,1
28403.txt,3
28490.txt,4
28504.txt,7
28830.txt,6
28833.txt,10
28835.txt,4
28847.txt,4
31566.txt,2
31650.txt,5
32015.txt,1
32114.txt,1
32496.txt,5
32703.txt,1
33950.txt,2
34045.txt,2
34326.txt,6
34399.txt,6
34400.txt,3
34524.txt,11
34721.txt,2
4727.txt,1
5847.txt,2
628.txt,10
6881.txt,5
7193.txt,10
7194.txt,8
7408.txt,2
7538.txt,5
