filename,number_of_people
12833.txt,2
12931.txt,15
13239.txt,2
13519.txt,2
13575.txt,2
13731.txt,2
13743.txt,2
16403.txt,1
1690.txt,2
20405.txt,2
27140.txt,80
27144.txt,2
27172.txt,2
27548.txt,2
27893.txt,4
28396.txt,2
28401.txt,1
28402.txt,2
28403.txt,3
28504.txt,6
28830.txt,6
28835.txt,3
28847.txt,5
31566.txt,2
31650.txt,5
32015.txt,1
32114.txt,1
32496.txt,2
33950.txt,2
34045.txt,2
34326.txt,7
34399.txt,5
34400.txt,15
34524.txt,10
34721.txt,2
5847.txt,1
628.txt,7
7193.txt,10
7194.txt,12
7408.txt,3
