filename,number_of_people
12833.txt,6
12931.txt,0
13239.txt,4
13519.txt,2
13575.txt,4
13731.txt,4
13743.txt,2
16403.txt,2
1690.txt,4
20405.txt,3
26614.txt,10
27140.txt,83
27142.txt,3
27144.txt,2
27149.txt,0
27172.txt,3
27548.txt,2
27566.txt,0
27893.txt,4
28396.txt,2
28401.txt,3
28402.txt,5
28403.txt,7
28490.txt,3
28504.txt,3
28830.txt,5
28833.txt,6
28835.txt,6
28847.txt,5
31566.txt,2
31650.txt,7
32015.txt,3
32114.txt,0
32496.txt,5
32703.txt,4
33950.txt,2
34045.txt,2
34326.txt,5
34399.txt,5
34400.txt,6
34524.txt,10
34721.txt,4
4727.txt,1
5847.txt,2
628.txt,7
6881.txt,5
7193.txt,10
7194.txt,8
7408.txt,3
7538.txt,4
